"cve_mun","pobreza_2020","pobreza_extrema_2020","pobreza_moderada_2020","carencia_social_2020","ingreso_2020","no_pobres_2020","rezago_educativo_2020","servicios_salud_2020","seguridad_social_2020","calidad_vivienda_2020","servicios_basicos_2020","alimentacion_2020","una_carencia_2020","tres_carencias_2020","ingreso_inferior_2020","ingreso_inferior_minimo_2020","p_0a2","p_3a5","p_6a11","p_12a14","p_15a17","p_18a24","p_60ymas","pob0_14","pnacoe","presoe15","p3ym_hli","p3hlinhe","phog_ind","pob_afro","pcon_disc","pclim_pmen","p15ym_an","pea","pe_inac","pocupada","pdesocup","psinder","prom_ocup","vph_pisoti","vph_s_elec","vph_aguafv","vph_nodren","vph_ndeaed","vph_sinltc"
"01001",0.236822702294778,0.0197404658949459,0.217082236399832,0.278817003300559,0.0997866130018606,0.384573681402803,0.0937569123074855,0.200188014763605,0.377651615365599,0.0233055901321525,0.0113557013796424,0.157702533320033,0.515639705595337,0.0718131822854094,0.336609315296638,0.0898502387592327,0.046757078578278,0.0513883181066186,0.103211835741156,0.0521575569816331,0.0526180465547582,0.126926521881158,0.108522745234407,0.253514789407686,0.226459709796731,0.0447644337664254,0.00193784971390636,8.43001506865194e-06,0.00426769512850504,0.0159854160739312,0.0500795582672104,0.0146945700165439,0.0122424893834498,0.512834697942023,0.28366473830072,0.502114880030348,0.0107198179116745,0.182508772484431,0.59,0.00573510559341475,0.00164181454242854,0.00370720224306352,0.00299125115264377,0.00019866705650391,0.0273373366619436
"01002",0.401315924745554,0.0414310681607896,0.359884856584764,0.395661560604503,0.0661869024365169,0.136835612213427,0.216901408450704,0.164655083787396,0.620869744011514,0.0789966073815154,0.0741030122339879,0.285185565950447,0.796977485350057,0.157294129741955,0.467502827182071,0.157972653438881,0.0615104004967401,0.0648478733312636,0.128162837628066,0.061102918348339,0.0624417882645141,0.127697143744179,0.09114017385905,0.315624029804409,0.116908568767464,0.0181620614715927,0.000426886060229742,0,0.00083436820863086,0.00436588016144055,0.0559996895374107,0.0134275069854083,0.0240996584911518,0.416019869605713,0.327227569077926,0.407753803166718,0.0082660664389941,0.147275690779261,0.683333333333333,0.0146707064264073,0.00757454951363419,0.00988678041779621,0.0356402487641524,0.00103651730186573,0.11537234890767
"01003",0.457567252801802,0.0449815758825439,0.412566584569563,0.404738721194417,0.0376119289000897,0.100101189453386,0.246214941672872,0.210321324245375,0.761517459953796,0.0584607747675506,0.030776867709109,0.201462473986674,0.862286881646524,0.143574469709987,0.495160089352197,0.159993890448097,0.0542317596566524,0.0606008583690987,0.115845493562232,0.0563605150214592,0.0552789699570815,0.119055793991416,0.134403433476395,0.287038626609442,0.112721030042918,0.019175965665236,0.00130472103004292,1.71673819742489e-05,0.00296995708154506,0.00456652360515021,0.0701802575107296,0.0204463519313305,0.0319656652360515,0.44593991416309,0.319965665236052,0.43943347639485,0.00650643776824034,0.203124463519313,0.623333333333333,0.0111925897336936,0.00720442557571079,0.00939148333976586,0.00662549852051975,0.00167245593721858,0.0581500064325228
"01004",0.37040521891858,0.033747334086062,0.336595157445741,0.32229331326057,0.0992974532680969,0.208004014552754,0.157696650357546,0.175887592522895,0.475222682223059,0.0933383515242755,0.0439718981307239,0.249654999372726,0.692698532179149,0.108894743444988,0.469702672186677,0.165223936770794,0.0607058823529412,0.0624705882352941,0.122705882352941,0.059,0.0614705882352941,0.131058823529412,0.0948823529411765,0.304882352941176,0.0814705882352941,0.0174705882352941,0.000411764705882353,0,0.000882352941176471,0.126764705882353,0.0473529411764706,0.0121176470588235,0.0218235294117647,0.412352941176471,0.339647058823529,0.404882352941176,0.00747058823529412,0.138058823529412,0.72,0.0101600203200406,0.0063500127000254,0.0078740157480315,0.0119380238760478,0.00127000254000508,0.105156210312421
"01005",0.263421953392413,0.0328535033838171,0.230560635188572,0.329675997561776,0.0770306809834169,0.329871368062394,0.167885778590519,0.210789140526094,0.418671168003001,0.0684031196761539,0.0230693487128991,0.179311045466623,0.593097950954189,0.109946702927432,0.34045263437583,0.108719776183554,0.05345227008597,0.0615566963495447,0.120042484741667,0.0597480162242455,0.0591092057970122,0.128069945893526,0.0755412571481348,0.294799467401427,0.183931223976172,0.0431774276720363,0.00121604876509478,7.69651117148597e-06,0.00304012191273696,0.0195722279090888,0.0387596302596033,0.01263767134358,0.016739911797982,0.506730599019464,0.255885906918394,0.499849918032156,0.00688068098730845,0.210107058470395,0.651666666666667,0.0123742999939784,0.00466670681038116,0.00861082675980008,0.00779791654121756,0.000782802432709099,0.0346239537544409
"01006",0.289179600886918,0.0287583148558758,0.260421286031042,0.316740576496674,0.102505543237251,0.291574279379157,0.149467849223947,0.210886917960089,0.45290465631929,0.0666740576496674,0.0350110864745011,0.166319290465632,0.605920177383592,0.107117516629712,0.391685144124168,0.114855875831486,0.0576333795071989,0.0622717541871301,0.118477941485119,0.0583889518532511,0.0602778827183814,0.129076942450573,0.0940477689627671,0.2967720270327,0.0926835411157285,0.0165596272509759,0.00109138227763086,0,0.00239264576249843,0.0101162741888091,0.0550728287789111,0.0116903832430844,0.0191411660999874,0.463774503630945,0.295596692272174,0.454875540444109,0.00889896318683625,0.185912773370272,0.691666666666667,0.00680865921787709,0.00584846368715084,0.0106494413407821,0.0089036312849162,0.00139664804469274,0.0677374301675978
"01007",0.405114776019612,0.0556236535175693,0.349472550330585,0.318587029195454,0.082404724760419,0.193893470024515,0.158402050367729,0.223516083500483,0.581048956243964,0.0887006908847782,0.0589480722086026,0.23818809895253,0.723701805215066,0.156971993165441,0.487519500780031,0.179555753658718,0.0617929543830292,0.0630131255556137,0.124126270285346,0.0596489393226307,0.0605030591434398,0.128327145322387,0.0917568721783542,0.308581289546619,0.085516568181422,0.0223814255085499,0.00371280656800711,3.48620335024142e-05,0.0071292858512437,0.00583939061165438,0.0579232686642612,0.0120622635918353,0.0237061827816417,0.465303561156722,0.281075145113214,0.457633913786191,0.00766964737053112,0.198626435880005,0.703333333333333,0.0126731506041851,0.00663129973474801,0.0109048040082523,0.014957264957265,0.000884173297966401,0.0753020925434719
"01008",0.457667644821215,0.0232583414846212,0.434517987175307,0.356700358656668,0.0539071840017389,0.131616128681665,0.145962395391805,0.0814041951961743,0.740028257798065,0.0381480273883274,0.050972720356483,0.105097272035648,0.814476687316596,0.0676013476796,0.511683512661667,0.161069448972938,0.0694095477386935,0.0637562814070352,0.126884422110553,0.0574748743718593,0.0584170854271357,0.123429648241206,0.100083752093802,0.317525125628141,0.0325586264656616,0.0100502512562814,0.00219849246231156,0,0.00314070351758794,0.0617671691792295,0.0595686767169179,0.0112018425460637,0.0166457286432161,0.401381909547739,0.337102177554439,0.394472361809045,0.00690954773869347,0.130757956448911,0.668333333333333,0.0100797984040319,0.0138597228055439,0.0188996220075598,0.0264594708105838,0.00209995800083998,0.0860982780344393
"01009",0.376495358407503,0.0314862666283855,0.344961240310078,0.384151593453919,0.07211216384343,0.167240884295148,0.202985931668102,0.170351229782754,0.593980285194755,0.0654129581778161,0.0768973107474399,0.218776916451335,0.760646951861422,0.135515360321562,0.448607522250933,0.163891281462341,0.0558149877696242,0.0635979541916833,0.12759617522793,0.0579942183678008,0.0610629308427841,0.131732265955081,0.0959750945074494,0.305003335557038,0.0563486768957083,0.0128085390260173,0.000800533689126084,0,0.00155659328441183,0.00369134978874805,0.0472759617522793,0.0109406270847231,0.0293084278407827,0.408494551923505,0.340360240160107,0.395908383366689,0.0125861685568157,0.149344007115855,0.69,0.016414607156031,0.00811508668388049,0.0118037624492807,0.0189966801918111,0.000922168941350055,0.120619697528587
"01010",0.406104449509464,0.048112179169557,0.357992270339907,0.378901991873947,0.0539589733425825,0.161034585274007,0.212020612426915,0.229858289564959,0.597066693092855,0.0858685957784164,0.0834902388266772,0.24397978396591,0.785006441383411,0.161530076305619,0.460063422852046,0.165246259042711,0.060806598570949,0.0610943269553541,0.117920682875366,0.0598475039562653,0.058744545149379,0.123003884333189,0.0953340046995636,0.299669112357934,0.0675202608737352,0.0147700570661296,0.00062341149954443,0,0.000959094614683739,0.00738502853306479,0.0547163477677073,0.0107898144151921,0.0272382870570182,0.415671606003932,0.342876324749437,0.408526351124538,0.00714525487939385,0.210377403730878,0.651666666666667,0.0153550863723608,0.0145873320537428,0.018042226487524,0.0380038387715931,0.00307101727447217,0.123608445297505
